2018-05-03 03:30:52.262877+01:00 Info fft | Loaded 1865 reward entries
2018-05-03 03:30:52.263191+01:00 Info fft | Loaded 3644 feature entries
2018-05-03 03:30:52.263196+01:00 Info fft | Loaded 1116 training examples
2018-05-03 03:30:52.263704+01:00 Info Loaded a total of 1116 training examples
2018-05-03 03:30:53.504 [32mINFO[0m : ((epoch 34)(training(((accuracy 0.83610755441741358)(loss 0.39837849375159412))))(validation(((accuracy 0.76047904191616766)(loss 0.46783925952436595))))(test(((accuracy 0.8035714285714286)(loss 0.42309525816195981)))))
2018-05-03 03:30:53.534 [32mINFO[0m : ((epoch 35)(training(((accuracy 0.83738796414852756)(loss 0.39721497329188182))))(validation(((accuracy 0.76646706586826352)(loss 0.4646124414838258))))(test(((accuracy 0.8035714285714286)(loss 0.42144657619790815)))))
2018-05-03 03:30:53.562 [32mINFO[0m : ((epoch 36)(training(((accuracy 0.83610755441741358)(loss 0.39620112867855833))))(validation(((accuracy 0.76047904191616766)(loss 0.46752607485029263))))(test(((accuracy 0.8035714285714286)(loss 0.42265414256368444)))))
2018-05-03 03:30:53.591 [32mINFO[0m : ((epoch 37)(training(((accuracy 0.83738796414852756)(loss 0.39458279926473366))))(validation(((accuracy 0.76646706586826352)(loss 0.46332502167873418))))(test(((accuracy 0.8035714285714286)(loss 0.41963317371688141)))))
2018-05-03 03:30:53.616 [32mINFO[0m : ((epoch 38)(training(((accuracy 0.83610755441741358)(loss 0.39360445727247123))))(validation(((accuracy 0.76047904191616766)(loss 0.46449297545108337))))(test(((accuracy 0.8035714285714286)(loss 0.42063915447731515)))))
2018-05-03 03:30:53.640 [32mINFO[0m : ((epoch 39)(training(((accuracy 0.83610755441741358)(loss 0.39241341861425627))))(validation(((accuracy 0.76047904191616766)(loss 0.46282657851323455))))(test(((accuracy 0.8035714285714286)(loss 0.41841758007194874)))))
2018-05-03 03:30:53.669 [32mINFO[0m : ((epoch 40)(training(((accuracy 0.83738796414852756)(loss 0.39148679587910057))))(validation(((accuracy 0.76646706586826352)(loss 0.46307400574657381))))(test(((accuracy 0.80952380952380953)(loss 0.41888532294146591)))))
2018-05-03 03:30:53.697 [32mINFO[0m : ((epoch 41)(training(((accuracy 0.83866837387964144)(loss 0.3907271775021936))))(validation(((accuracy 0.77245508982035926)(loss 0.46008870296319793))))(test(((accuracy 0.80952380952380953)(loss 0.41547934910250273)))))
2018-05-03 03:30:53.725 [32mINFO[0m : ((epoch 42)(training(((accuracy 0.83610755441741358)(loss 0.38988584000123921))))(validation(((accuracy 0.74850299401197606)(loss 0.463512994082034))))(test(((accuracy 0.8035714285714286)(loss 0.41998520312831988)))))
2018-05-03 03:30:53.759 [32mINFO[0m : ((epoch 43)(training(((accuracy 0.84507042253521125)(loss 0.3886891655041943))))(validation(((accuracy 0.77245508982035926)(loss 0.45831479659731938))))(test(((accuracy 0.82738095238095233)(loss 0.41332737391234192)))))
2018-05-03 03:30:53.787 [32mINFO[0m : ((epoch 44)(training(((accuracy 0.83866837387964144)(loss 0.38772697073944767))))(validation(((accuracy 0.77245508982035926)(loss 0.46124458616738767))))(test(((accuracy 0.80952380952380953)(loss 0.4181860852097613)))))
2018-05-03 03:30:53.814 [32mINFO[0m : ((epoch 45)(training(((accuracy 0.84763124199743922)(loss 0.38686643869119647))))(validation(((accuracy 0.77844311377245512)(loss 0.45593687256671644))))(test(((accuracy 0.83333333333333337)(loss 0.41103171250634735)))))
2018-05-03 03:30:53.843 [32mINFO[0m : ((epoch 46)(training(((accuracy 0.84379001280409727)(loss 0.38582000127143051))))(validation(((accuracy 0.77245508982035926)(loss 0.46005412597199208))))(test(((accuracy 0.82738095238095233)(loss 0.41694164596610378)))))
2018-05-03 03:30:53.878 [32mINFO[0m : ((epoch 47)(training(((accuracy 0.84507042253521125)(loss 0.38493263833415708))))(validation(((accuracy 0.76047904191616766)(loss 0.45793250785376716))))(test(((accuracy 0.82738095238095233)(loss 0.41309288694308482)))))
2018-05-03 03:30:53.909 [32mINFO[0m : ((epoch 48)(training(((accuracy 0.84507042253521125)(loss 0.3839480641772689))))(validation(((accuracy 0.76047904191616766)(loss 0.45809967012898611))))(test(((accuracy 0.82738095238095233)(loss 0.41434282229915392)))))
2018-05-03 03:30:53.942 [32mINFO[0m : ((epoch 49)(training(((accuracy 0.84507042253521125)(loss 0.38309412222119216))))(validation(((accuracy 0.76047904191616766)(loss 0.45704542553341704))))(test(((accuracy 0.82738095238095233)(loss 0.41217917310676161)))))
2018-05-03 03:30:53.968 [32mINFO[0m : ((epoch 50)(training(((accuracy 0.84763124199743922)(loss 0.38248124498455238))))(validation(((accuracy 0.77844311377245512)(loss 0.4550904029133655))))(test(((accuracy 0.83333333333333337)(loss 0.41198845985272087)))))
2018-05-03 03:30:53.993 [32mINFO[0m : ((epoch 51)(training(((accuracy 0.84507042253521125)(loss 0.38175387141180817))))(validation(((accuracy 0.76047904191616766)(loss 0.45725903044691218))))(test(((accuracy 0.82738095238095233)(loss 0.41224803926525833)))))
2018-05-03 03:30:54.019 [32mINFO[0m : ((epoch 52)(training(((accuracy 0.84763124199743922)(loss 0.38066057069657666))))(validation(((accuracy 0.76646706586826352)(loss 0.45544598481494303))))(test(((accuracy 0.83333333333333337)(loss 0.41115670779564018)))))
2018-05-03 03:30:54.050 [32mINFO[0m : ((epoch 53)(training(((accuracy 0.84763124199743922)(loss 0.3800219182543661))))(validation(((accuracy 0.76646706586826352)(loss 0.45424374061061756))))(test(((accuracy 0.83333333333333337)(loss 0.40933535197354587)))))
2018-05-03 03:30:54.081 [32mINFO[0m : ((epoch 54)(training(((accuracy 0.84763124199743922)(loss 0.37923934125726977))))(validation(((accuracy 0.76646706586826352)(loss 0.45555461504977679))))(test(((accuracy 0.83333333333333337)(loss 0.41075999471790176)))))
2018-05-03 03:30:54.116 [32mINFO[0m : ((epoch 55)(training(((accuracy 0.84763124199743922)(loss 0.37865024896997385))))(validation(((accuracy 0.76646706586826352)(loss 0.452957877427304))))(test(((accuracy 0.83333333333333337)(loss 0.40837506071056218)))))
2018-05-03 03:30:54.149 [32mINFO[0m : ((epoch 56)(training(((accuracy 0.84763124199743922)(loss 0.3780231379477863))))(validation(((accuracy 0.76646706586826352)(loss 0.45558426539485763))))(test(((accuracy 0.83333333333333337)(loss 0.41135021726830817)))))
2018-05-03 03:30:54.182 [32mINFO[0m : ((epoch 57)(training(((accuracy 0.84763124199743922)(loss 0.37750682388047385))))(validation(((accuracy 0.77245508982035926)(loss 0.45047431075743966))))(test(((accuracy 0.84523809523809523)(loss 0.4048826916362317)))))
2018-05-03 03:30:54.207 [32mINFO[0m : ((epoch 58)(training(((accuracy 0.84763124199743922)(loss 0.3769783858591752))))(validation(((accuracy 0.76646706586826352)(loss 0.45765545916293177))))(test(((accuracy 0.83333333333333337)(loss 0.41272753393877515)))))
2018-05-03 03:30:54.234 [32mINFO[0m : ((epoch 59)(training(((accuracy 0.8489116517285531)(loss 0.37638423619957823))))(validation(((accuracy 0.80838323353293418)(loss 0.44845566562420291))))(test(((accuracy 0.8571428571428571)(loss 0.40383950041742656)))))
2018-05-03 03:30:54.261 [32mINFO[0m : ((epoch 60)(training(((accuracy 0.84763124199743922)(loss 0.37528844044775206))))(validation(((accuracy 0.76646706586826352)(loss 0.45581232034433122))))(test(((accuracy 0.83333333333333337)(loss 0.41152647367692846)))))
2018-05-03 03:30:54.288 [32mINFO[0m : ((epoch 61)(training(((accuracy 0.83098591549295775)(loss 0.37471021587031456))))(validation(((accuracy 0.76646706586826352)(loss 0.44884341878734318))))(test(((accuracy 0.8392857142857143)(loss 0.402807185685532)))))
2018-05-03 03:30:54.320 [32mINFO[0m : ((epoch 62)(training(((accuracy 0.84763124199743922)(loss 0.37393212372269863))))(validation(((accuracy 0.76646706586826352)(loss 0.45481739023597245))))(test(((accuracy 0.83333333333333337)(loss 0.40951040099474623)))))
2018-05-03 03:30:54.354 [32mINFO[0m : ((epoch 63)(training(((accuracy 0.83226632522407173)(loss 0.37338096271983134))))(validation(((accuracy 0.76646706586826352)(loss 0.447815438507495))))(test(((accuracy 0.84523809523809523)(loss 0.40236132839611066)))))
2018-05-03 03:30:54.383 [32mINFO[0m : ((epoch 64)(training(((accuracy 0.84763124199743922)(loss 0.37237743189445527))))(validation(((accuracy 0.76646706586826352)(loss 0.45249393551083789))))(test(((accuracy 0.8392857142857143)(loss 0.4079225945220542)))))
2018-05-03 03:30:54.417 [32mINFO[0m : ((epoch 65)(training(((accuracy 0.8489116517285531)(loss 0.37198077873275043))))(validation(((accuracy 0.79640718562874246)(loss 0.4473862585532819))))(test(((accuracy 0.8571428571428571)(loss 0.40178309378916266)))))
2018-05-03 03:30:54.451 [32mINFO[0m : ((epoch 66)(training(((accuracy 0.84763124199743922)(loss 0.370990692277036))))(validation(((accuracy 0.77245508982035926)(loss 0.45128291673740611))))(test(((accuracy 0.84523809523809523)(loss 0.40612757667859856)))))
2018-05-03 03:30:54.482 [32mINFO[0m : ((epoch 67)(training(((accuracy 0.8489116517285531)(loss 0.3706500750572963))))(validation(((accuracy 0.77245508982035926)(loss 0.44706050278623138))))(test(((accuracy 0.85119047619047616)(loss 0.4013658863205255)))))
2018-05-03 03:30:54.509 [32mINFO[0m : ((epoch 68)(training(((accuracy 0.84763124199743922)(loss 0.37003992294303939))))(validation(((accuracy 0.77245508982035926)(loss 0.45130026098437676))))(test(((accuracy 0.84523809523809523)(loss 0.40558474739547212)))))
2018-05-03 03:30:54.542 [32mINFO[0m : ((epoch 69)(training(((accuracy 0.8489116517285531)(loss 0.36955655658160075))))(validation(((accuracy 0.79640718562874246)(loss 0.44545212194382305))))(test(((accuracy 0.8571428571428571)(loss 0.39939363969182129)))))
2018-05-03 03:30:54.569 [32mINFO[0m : ((epoch 70)(training(((accuracy 0.84763124199743922)(loss 0.36894168539428568))))(validation(((accuracy 0.76646706586826352)(loss 0.45155355982771112))))(test(((accuracy 0.8392857142857143)(loss 0.40565696325410955)))))
