2018-05-03 03:44:53.488614+01:00 Info kahan-sum | Loaded 19 reward entries
2018-05-03 03:44:53.488620+01:00 Info kahan-sum | Loaded 53 feature entries
2018-05-03 03:44:53.488623+01:00 Info kahan-sum | Loaded 53 training examples
2018-05-03 03:44:53.488989+01:00 Info Loaded a total of 53 training examples
2018-05-03 03:44:53.659 [32mINFO[0m : ((epoch 37)(training(((accuracy 1)(loss 0.15671341184355858))))(validation(((accuracy 1)(loss 0.26979157304303497))))(test(((accuracy 0.875)(loss 0.49082927067810955)))))
2018-05-03 03:44:53.661 [32mINFO[0m : ((epoch 38)(training(((accuracy 1)(loss 0.14974724676082571))))(validation(((accuracy 1)(loss 0.28211808914734871))))(test(((accuracy 0.875)(loss 0.52017799800869613)))))
2018-05-03 03:44:53.664 [32mINFO[0m : ((epoch 39)(training(((accuracy 1)(loss 0.14255980169953825))))(validation(((accuracy 1)(loss 0.24946328935700954))))(test(((accuracy 0.875)(loss 0.48497804906109704)))))
2018-05-03 03:44:53.665 [32mINFO[0m : ((epoch 40)(training(((accuracy 1)(loss 0.13569246443864777))))(validation(((accuracy 1)(loss 0.25409123097044894))))(test(((accuracy 0.875)(loss 0.50524771001450131)))))
2018-05-03 03:44:53.666 [32mINFO[0m : ((epoch 41)(training(((accuracy 1)(loss 0.12945450120805502))))(validation(((accuracy 1)(loss 0.23408473457756798))))(test(((accuracy 0.875)(loss 0.48722590429653534)))))
2018-05-03 03:44:53.669 [32mINFO[0m : ((epoch 42)(training(((accuracy 1)(loss 0.12370482591234487))))(validation(((accuracy 1)(loss 0.23513374630557043))))(test(((accuracy 0.875)(loss 0.500647166815473)))))
2018-05-03 03:44:53.670 [32mINFO[0m : ((epoch 43)(training(((accuracy 1)(loss 0.11822625248201035))))(validation(((accuracy 1)(loss 0.21834143617725743))))(test(((accuracy 0.875)(loss 0.48565229162170476)))))
2018-05-03 03:44:53.671 [32mINFO[0m : ((epoch 44)(training(((accuracy 1)(loss 0.11304127030522226))))(validation(((accuracy 1)(loss 0.21602386272133284))))(test(((accuracy 0.875)(loss 0.49460693502212205)))))
2018-05-03 03:44:53.674 [32mINFO[0m : ((epoch 45)(training(((accuracy 1)(loss 0.10828965201031769))))(validation(((accuracy 1)(loss 0.2034456410531616))))(test(((accuracy 0.875)(loss 0.48401102069791269)))))
2018-05-03 03:44:53.675 [32mINFO[0m : ((epoch 46)(training(((accuracy 1)(loss 0.10365973952244011))))(validation(((accuracy 1)(loss 0.20097068948026153))))(test(((accuracy 0.875)(loss 0.49301239898267546)))))
2018-05-03 03:44:53.676 [32mINFO[0m : ((epoch 47)(training(((accuracy 1)(loss 0.099520461717093292))))(validation(((accuracy 1)(loss 0.18687650776320608))))(test(((accuracy 0.875)(loss 0.47825478507806107)))))
2018-05-03 03:44:53.679 [32mINFO[0m : ((epoch 48)(training(((accuracy 1)(loss 0.095487000703159935))))(validation(((accuracy 1)(loss 0.19062364873820251))))(test(((accuracy 0.875)(loss 0.49756371931243126)))))
2018-05-03 03:44:53.680 [32mINFO[0m : ((epoch 49)(training(((accuracy 1)(loss 0.091484371906301792))))(validation(((accuracy 1)(loss 0.17635416505865154))))(test(((accuracy 0.875)(loss 0.48182674517225937)))))
2018-05-03 03:44:53.681 [32mINFO[0m : ((epoch 50)(training(((accuracy 1)(loss 0.087716842109111154))))(validation(((accuracy 1)(loss 0.17215567208245453))))(test(((accuracy 0.875)(loss 0.48500784371888606)))))
2018-05-03 03:44:53.683 [32mINFO[0m : ((epoch 51)(training(((accuracy 1)(loss 0.084274140416407878))))(validation(((accuracy 1)(loss 0.16527104161607958))))(test(((accuracy 0.875)(loss 0.48330268509274149)))))
2018-05-03 03:44:53.684 [32mINFO[0m : ((epoch 52)(training(((accuracy 1)(loss 0.081007885432948831))))(validation(((accuracy 1)(loss 0.16131959367066129))))(test(((accuracy 0.875)(loss 0.4864084066292515)))))
2018-05-03 03:44:53.685 [32mINFO[0m : ((epoch 53)(training(((accuracy 1)(loss 0.078053481691697429))))(validation(((accuracy 1)(loss 0.15291077708034423))))(test(((accuracy 0.875)(loss 0.47855943204817797)))))
2018-05-03 03:44:53.688 [32mINFO[0m : ((epoch 54)(training(((accuracy 1)(loss 0.074939590148647067))))(validation(((accuracy 1)(loss 0.15227700374859893))))(test(((accuracy 0.875)(loss 0.48956750442940139)))))
2018-05-03 03:44:53.689 [32mINFO[0m : ((epoch 55)(training(((accuracy 1)(loss 0.072048975194909839))))(validation(((accuracy 1)(loss 0.14245551095243705))))(test(((accuracy 0.875)(loss 0.47951780112705816)))))
2018-05-03 03:44:53.690 [32mINFO[0m : ((epoch 56)(training(((accuracy 1)(loss 0.069262824659994615))))(validation(((accuracy 1)(loss 0.14199078664135434))))(test(((accuracy 0.875)(loss 0.48957112626536248)))))
2018-05-03 03:44:53.693 [32mINFO[0m : ((epoch 57)(training(((accuracy 1)(loss 0.066633255572737277))))(validation(((accuracy 1)(loss 0.13287496865727561))))(test(((accuracy 0.875)(loss 0.48004637032658021)))))
2018-05-03 03:44:53.694 [32mINFO[0m : ((epoch 58)(training(((accuracy 1)(loss 0.064229114419885991))))(validation(((accuracy 1)(loss 0.13291473663607134))))(test(((accuracy 0.875)(loss 0.49130979482982784)))))
