2018-05-03 03:30:52.252316+01:00 Info lens | Loaded 1698 reward entries
2018-05-03 03:30:52.252582+01:00 Info lens | Loaded 3567 feature entries
2018-05-03 03:30:52.252591+01:00 Info lens | Loaded 1145 training examples
2018-05-03 03:30:52.253052+01:00 Info Loaded a total of 1145 training examples
2018-05-03 03:30:53.756 [32mINFO[0m : ((epoch 38)(training(((accuracy 0.84144818976279645)(loss 0.40226418732414509))))(validation(((accuracy 0.79069767441860461)(loss 0.45298210338771183))))(test(((accuracy 0.85465116279069764)(loss 0.41560918787801593)))))
2018-05-03 03:30:53.801 [32mINFO[0m : ((epoch 39)(training(((accuracy 0.83270911360799)(loss 0.40048435370888991))))(validation(((accuracy 0.77906976744186052)(loss 0.45207345251663461))))(test(((accuracy 0.84883720930232553)(loss 0.41605505789697722)))))
2018-05-03 03:30:53.853 [32mINFO[0m : ((epoch 40)(training(((accuracy 0.84269662921348309)(loss 0.39803087201664383))))(validation(((accuracy 0.79069767441860461)(loss 0.45048664602789457))))(test(((accuracy 0.85465116279069764)(loss 0.41432177457604441)))))
2018-05-03 03:30:53.905 [32mINFO[0m : ((epoch 41)(training(((accuracy 0.83270911360799)(loss 0.39630079514318328))))(validation(((accuracy 0.77906976744186052)(loss 0.44973666440346505))))(test(((accuracy 0.84883720930232553)(loss 0.4141791525478582)))))
2018-05-03 03:30:53.950 [32mINFO[0m : ((epoch 42)(training(((accuracy 0.8314606741573034)(loss 0.39410087130518584))))(validation(((accuracy 0.77325581395348841)(loss 0.44872653996270728))))(test(((accuracy 0.84883720930232553)(loss 0.41271178050418406)))))
2018-05-03 03:30:53.985 [32mINFO[0m : ((epoch 43)(training(((accuracy 0.83270911360799)(loss 0.39243379155185587))))(validation(((accuracy 0.77906976744186052)(loss 0.44850609312924666))))(test(((accuracy 0.84883720930232553)(loss 0.41208474505296844)))))
2018-05-03 03:30:54.027 [32mINFO[0m : ((epoch 44)(training(((accuracy 0.83270911360799)(loss 0.39046727162609868))))(validation(((accuracy 0.77906976744186052)(loss 0.44577574289561284))))(test(((accuracy 0.84883720930232553)(loss 0.411682958131588)))))
2018-05-03 03:30:54.078 [32mINFO[0m : ((epoch 45)(training(((accuracy 0.83270911360799)(loss 0.38877860308981821))))(validation(((accuracy 0.77906976744186052)(loss 0.446912625635442))))(test(((accuracy 0.84883720930232553)(loss 0.4107561365164622)))))
2018-05-03 03:30:54.137 [32mINFO[0m : ((epoch 46)(training(((accuracy 0.83270911360799)(loss 0.38690689111248244))))(validation(((accuracy 0.77906976744186052)(loss 0.4441226164815969))))(test(((accuracy 0.84883720930232553)(loss 0.41053423853586191)))))
2018-05-03 03:30:54.186 [32mINFO[0m : ((epoch 47)(training(((accuracy 0.83395755305867669)(loss 0.3851969301672753))))(validation(((accuracy 0.77906976744186052)(loss 0.44497382231404953))))(test(((accuracy 0.84883720930232553)(loss 0.40936099141960186)))))
2018-05-03 03:30:54.227 [32mINFO[0m : ((epoch 48)(training(((accuracy 0.83520599250936334)(loss 0.38362918527772172))))(validation(((accuracy 0.77906976744186052)(loss 0.44268584680678152))))(test(((accuracy 0.84883720930232553)(loss 0.40939831695365175)))))
2018-05-03 03:30:54.265 [32mINFO[0m : ((epoch 49)(training(((accuracy 0.84519350811485638)(loss 0.38202685076135617))))(validation(((accuracy 0.79069767441860461)(loss 0.44389137754341573))))(test(((accuracy 0.85465116279069764)(loss 0.40745665331044373)))))
2018-05-03 03:30:54.312 [32mINFO[0m : ((epoch 50)(training(((accuracy 0.83520599250936334)(loss 0.3807545298423527))))(validation(((accuracy 0.77906976744186052)(loss 0.44089965811664728))))(test(((accuracy 0.84883720930232553)(loss 0.4087289596102312)))))
2018-05-03 03:30:54.365 [32mINFO[0m : ((epoch 51)(training(((accuracy 0.83895131086142327)(loss 0.37892170728378927))))(validation(((accuracy 0.79069767441860461)(loss 0.44210594193431368))))(test(((accuracy 0.84883720930232553)(loss 0.40650768207644394)))))
2018-05-03 03:30:54.420 [32mINFO[0m : ((epoch 52)(training(((accuracy 0.84144818976279645)(loss 0.3773925774284736))))(validation(((accuracy 0.79651162790697672)(loss 0.44033094000985884))))(test(((accuracy 0.85465116279069764)(loss 0.40665830447331597)))))
2018-05-03 03:30:54.469 [32mINFO[0m : ((epoch 53)(training(((accuracy 0.84144818976279645)(loss 0.37616249364569293))))(validation(((accuracy 0.79651162790697672)(loss 0.44011003940051097))))(test(((accuracy 0.85465116279069764)(loss 0.40550209680353227)))))
2018-05-03 03:30:54.513 [32mINFO[0m : ((epoch 54)(training(((accuracy 0.84394506866416974)(loss 0.374502576547148))))(validation(((accuracy 0.79651162790697672)(loss 0.43901954678280797))))(test(((accuracy 0.85465116279069764)(loss 0.40561934745738848)))))
2018-05-03 03:30:54.555 [32mINFO[0m : ((epoch 55)(training(((accuracy 0.84394506866416974)(loss 0.3731048916200097))))(validation(((accuracy 0.79651162790697672)(loss 0.43932342361067356))))(test(((accuracy 0.85465116279069764)(loss 0.40443554059799153)))))
