2018-05-03 03:33:39.567145+01:00 Info sequence | Loaded 14618 reward entries
2018-05-03 03:33:39.570120+01:00 Info sequence | Loaded 22106 feature entries
2018-05-03 03:33:39.570194+01:00 Info sequence | Loaded 12068 training examples
2018-05-03 03:33:39.570798+01:00 Info Loaded a total of 12068 training examples
2018-05-03 03:35:06.610 [32mINFO[0m : ((epoch 43)(training(((accuracy 0.87107848940452226)(loss 0.29126312819207423))))(validation(((accuracy 0.85248618784530383)(loss 0.31665801245023117))))(test(((accuracy 0.85808945334069575)(loss 0.29694130235109734)))))
2018-05-03 03:35:08.610 [32mINFO[0m : ((epoch 44)(training(((accuracy 0.8709601041789985)(loss 0.289479216088797))))(validation(((accuracy 0.85248618784530383)(loss 0.31483737332621486))))(test(((accuracy 0.85808945334069575)(loss 0.29548679968161479)))))
2018-05-03 03:35:10.626 [32mINFO[0m : ((epoch 45)(training(((accuracy 0.8709601041789985)(loss 0.28795961010282023))))(validation(((accuracy 0.85303867403314915)(loss 0.31391218185980585))))(test(((accuracy 0.85753727222528986)(loss 0.29418384538101294)))))
2018-05-03 03:35:12.627 [32mINFO[0m : ((epoch 46)(training(((accuracy 0.86894755534509294)(loss 0.28640609169325787))))(validation(((accuracy 0.84861878453038675)(loss 0.311993382246569))))(test(((accuracy 0.85256764218663716)(loss 0.29254936251126967)))))
2018-05-03 03:35:14.536 [32mINFO[0m : ((epoch 47)(training(((accuracy 0.8709601041789985)(loss 0.28479159893940204))))(validation(((accuracy 0.85303867403314915)(loss 0.310962188072386))))(test(((accuracy 0.85753727222528986)(loss 0.29111179126418252)))))
2018-05-03 03:35:16.547 [32mINFO[0m : ((epoch 48)(training(((accuracy 0.870486563276903)(loss 0.28320837632374307))))(validation(((accuracy 0.85138121546961321)(loss 0.30915263983362062))))(test(((accuracy 0.85753727222528986)(loss 0.2898783490953889)))))
2018-05-03 03:35:18.504 [32mINFO[0m : ((epoch 49)(training(((accuracy 0.87084171895347462)(loss 0.28178524658890536))))(validation(((accuracy 0.85303867403314915)(loss 0.30825515065325892))))(test(((accuracy 0.85753727222528986)(loss 0.28847032249281446)))))
2018-05-03 03:35:20.508 [32mINFO[0m : ((epoch 50)(training(((accuracy 0.89073043684148223)(loss 0.27978135969486506))))(validation(((accuracy 0.876243093922652)(loss 0.30581812453733481))))(test(((accuracy 0.88293760353395911)(loss 0.286409426342462)))))
2018-05-03 03:35:22.498 [32mINFO[0m : ((epoch 51)(training(((accuracy 0.89025689593938673)(loss 0.27779200301140206))))(validation(((accuracy 0.87569060773480667)(loss 0.30455364778649563))))(test(((accuracy 0.883489784649365)(loss 0.28460902296497981)))))
2018-05-03 03:35:24.486 [32mINFO[0m : ((epoch 52)(training(((accuracy 0.890848822067006)(loss 0.27605638673111782))))(validation(((accuracy 0.876243093922652)(loss 0.30240031400441358))))(test(((accuracy 0.88293760353395911)(loss 0.28287395816522465)))))
2018-05-03 03:35:26.458 [32mINFO[0m : ((epoch 53)(training(((accuracy 0.89096720729252987)(loss 0.27440491667800176))))(validation(((accuracy 0.87679558011049719)(loss 0.30140293960550979))))(test(((accuracy 0.88293760353395911)(loss 0.28129036955069908)))))
2018-05-03 03:35:28.415 [32mINFO[0m : ((epoch 54)(training(((accuracy 0.890848822067006)(loss 0.27306984963815756))))(validation(((accuracy 0.876243093922652)(loss 0.2996530269063189))))(test(((accuracy 0.88293760353395911)(loss 0.28013173361464094)))))
2018-05-03 03:35:30.372 [32mINFO[0m : ((epoch 55)(training(((accuracy 0.89108559251805375)(loss 0.27140106254475382))))(validation(((accuracy 0.87679558011049719)(loss 0.29878471987258381))))(test(((accuracy 0.88293760353395911)(loss 0.27852336290627433)))))
2018-05-03 03:35:32.306 [32mINFO[0m : ((epoch 56)(training(((accuracy 0.89096720729252987)(loss 0.27000244047344396))))(validation(((accuracy 0.87679558011049719)(loss 0.296733534139021))))(test(((accuracy 0.88293760353395911)(loss 0.27724503509420506)))))
2018-05-03 03:35:34.299 [32mINFO[0m : ((epoch 57)(training(((accuracy 0.89120397774357762)(loss 0.2686054641218284))))(validation(((accuracy 0.87679558011049719)(loss 0.2960442226523089))))(test(((accuracy 0.883489784649365)(loss 0.27581236044816648)))))
2018-05-03 03:35:36.326 [32mINFO[0m : ((epoch 58)(training(((accuracy 0.89096720729252987)(loss 0.26734834151134113))))(validation(((accuracy 0.87679558011049719)(loss 0.29437680577933811))))(test(((accuracy 0.883489784649365)(loss 0.27489082487667671)))))
2018-05-03 03:35:38.262 [32mINFO[0m : ((epoch 59)(training(((accuracy 0.89108559251805375)(loss 0.26621309905822893))))(validation(((accuracy 0.87679558011049719)(loss 0.29373066459303104))))(test(((accuracy 0.88293760353395911)(loss 0.27349297512816773)))))
2018-05-03 03:35:40.239 [32mINFO[0m : ((epoch 60)(training(((accuracy 0.890848822067006)(loss 0.26493537758015345))))(validation(((accuracy 0.87679558011049719)(loss 0.29229321206101783))))(test(((accuracy 0.883489784649365)(loss 0.27274472561528196)))))
2018-05-03 03:35:42.247 [32mINFO[0m : ((epoch 61)(training(((accuracy 0.89108559251805375)(loss 0.2636628133384698))))(validation(((accuracy 0.87679558011049719)(loss 0.29130774828996536))))(test(((accuracy 0.88293760353395911)(loss 0.2709831520195024)))))
2018-05-03 03:35:44.212 [32mINFO[0m : ((epoch 62)(training(((accuracy 0.89108559251805375)(loss 0.26258172746057279))))(validation(((accuracy 0.87845303867403313)(loss 0.28992690211349553))))(test(((accuracy 0.88238542241855333)(loss 0.27055700307444336)))))
2018-05-03 03:35:46.203 [32mINFO[0m : ((epoch 63)(training(((accuracy 0.89096720729252987)(loss 0.2615422675248999))))(validation(((accuracy 0.87679558011049719)(loss 0.28937108317671167))))(test(((accuracy 0.88293760353395911)(loss 0.268994850817434)))))
2018-05-03 03:35:48.185 [32mINFO[0m : ((epoch 64)(training(((accuracy 0.89073043684148223)(loss 0.26028071516666768))))(validation(((accuracy 0.87790055248618781)(loss 0.28741454709607306))))(test(((accuracy 0.88238542241855333)(loss 0.26811004286104861)))))
2018-05-03 03:35:50.159 [32mINFO[0m : ((epoch 65)(training(((accuracy 0.89096720729252987)(loss 0.2592153499410037))))(validation(((accuracy 0.87679558011049719)(loss 0.28740315279087009))))(test(((accuracy 0.88238542241855333)(loss 0.26677258538823079)))))
2018-05-03 03:35:52.154 [32mINFO[0m : ((epoch 66)(training(((accuracy 0.890848822067006)(loss 0.25798143414836694))))(validation(((accuracy 0.87790055248618781)(loss 0.28530475164849567))))(test(((accuracy 0.88183324130314744)(loss 0.26600560911078791)))))
2018-05-03 03:35:54.114 [32mINFO[0m : ((epoch 67)(training(((accuracy 0.89096720729252987)(loss 0.25687780042843178))))(validation(((accuracy 0.876243093922652)(loss 0.28528805144947467))))(test(((accuracy 0.88238542241855333)(loss 0.26467225279381984)))))
2018-05-03 03:35:56.038 [32mINFO[0m : ((epoch 68)(training(((accuracy 0.89108559251805375)(loss 0.25591907759276361))))(validation(((accuracy 0.8773480662983425)(loss 0.28319773875998522))))(test(((accuracy 0.88183324130314744)(loss 0.26399525943072016)))))
